id,first_name,last_name,email,gender,ip_address,company,country,currency_code,credit_card_number
1,John,Doe,john.doe@example.com,Male,192.168.1.1,Acme Corp,United States,USD,4111111111111111
2,Jane,Smith,jane.smith@example.org,Female,203.0.113.42,Globex,Canada,CAD,5500000000000004
3,Robert,Johnson,rjohnson@test.net,Male,198.51.100.4,Initech,United Kingdom,GBP,340000000000009
4,Maria,Garcia,mgarcia@demo.com,Female,203.0.113.42,Vehement Capital,Spain,EUR,378282246310005
5,James,Brown,jbrown@sample.net,Male,192.168.0.1,Stark Ind,Germany,EUR,6011111111111117
6,Linda,Wilson,lwilson@test.org,Female,10.0.0.1,Wayne Ent,Australia,AUD,30569309025904
7,Michael,Moore,mmoore@example.com,Male,172.16.0.1,Oscorp,France,EUR,3530111333300000
8,Patricia,Taylor,ptaylor@demo.org,Female,192.168.2.1,Cyberdyne,Japan,JPY,3566002020360505
9,William,Anderson,wanderson@test.com,Male,10.1.1.1,Umbrella Corp,China,CNY,5555555555554444
10,Jennifer,Thomas,jthomas@example.net,Female,172.17.0.1,Rainbow,Italy,EUR,4111111111111111
